id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
0,,,,,,Sol,0,0,0,0,0,0,-26.7,4.85,G2V,0.656,0.000005,0,0,0,0,0,0,0,0,0,,,,1,0,,1,,,
3,3,224699,,,,,0.000335,38.859279,442.4779,5.24,-2.91,0,6.61,-1.619,B9,-0.019,344.552785,0.030213,277.614965,0.00000392,0.00001124,-0.00000486,0.0000876262870725,0.678222362554318,0.0000000254042369,-0.000000014108078,,,And,1,3,,386.901131655109,,,
6,6,,,,,,0.001246,3.946458,55.0358,226.29,-12.84,0,12.31,8.607,M0V:,1.336,54.905296,0.017912,3.787796,0.00000022,0.00006037,-0.00000342,0.0003262244926801,0.068878680311835,0.0000010970848777,-0.000000062250076,,,Psc,1,6,,0.0314195528464107,,12.462,12.162
